36	31	30	31	36	42	50	58	67	76	28	22	20	22	28	36	44	53	63	72	22	14	10	14	22	31	41	50	60	70	20	10	0	10	20	30	40	50	60	70	22	14	10	14	22	31	41	50	60	70	
42	36	31	30	31	36	42	50	58	67	36	28	22	20	22	28	36	44	53	63	31	22	14	10	14	22	31	41	50	60	30	20	10	0	10	20	30	40	50	60	31	22	14	10	14	22	31	41	50	60	
50	42	36	31	30	31	36	42	50	58	44	36	28	22	20	22	28	36	44	53	41	31	22	14	10	14	22	31	41	50	40	30	20	10	0	10	20	30	40	50	41	31	22	14	10	14	22	31	41	50	
58	50	42	36	31	30	31	36	42	50	53	44	36	28	22	20	22	28	36	44	50	41	31	22	14	10	14	22	31	41	50	40	30	20	10	0	10	20	30	40	50	41	31	22	14	10	14	22	31	41	
67	58	50	42	36	31	30	31	36	42	63	53	44	36	28	22	20	22	28	36	60	50	41	31	22	14	10	14	22	31	60	50	40	30	20	10	0	10	20	30	60	50	41	31	22	14	10	14	22	31	
76	67	58	50	42	36	31	30	31	36	72	63	53	44	36	28	22	20	22	28	70	60	50	41	31	22	14	10	14	22	70	60	50	40	30	20	10	0	10	20	70	60	50	41	31	22	14	10	14	22	
85	76	67	58	50	42	36	31	30	31	82	72	63	53	44	36	28	22	20	22	80	70	60	50	41	31	22	14	10	14	80	70	60	50	40	30	20	10	0	10	80	70	60	50	41	31	22	14	10	14	
94	85	76	67	58	50	42	36	31	30	92	82	72	63	53	44	36	28	22	20	90	80	70	60	50	41	31	22	14	10	90	80	70	60	50	40	30	20	10	0	90	80	70	60	50	41	31	22	14	10	
40	41	44	50	56	64	72	80	89	98	30	31	36	42	50	58	67	76	85	94	20	22	28	36	44	53	63	72	82	92	10	14	22	31	41	50	60	70	80	90	0	10	20	30	40	50	60	70	80	90	
41	40	41	44	50	56	64	72	80	89	31	30	31	36	42	50	58	67	76	85	22	20	22	28	36	44	53	63	72	82	14	10	14	22	31	41	50	60	70	80	10	0	10	20	30	40	50	60	70	80	
44	41	40	41	44	50	56	64	72	80	36	31	30	31	36	42	50	58	67	76	28	22	20	22	28	36	44	53	63	72	22	14	10	14	22	31	41	50	60	70	20	10	0	10	20	30	40	50	60	70	
50	44	41	40	41	44	50	56	64	72	42	36	31	30	31	36	42	50	58	67	36	28	22	20	22	28	36	44	53	63	31	22	14	10	14	22	31	41	50	60	30	20	10	0	10	20	30	40	50	60	
56	50	44	41	40	41	44	50	56	64	50	42	36	31	30	31	36	42	50	58	44	36	28	22	20	22	28	36	44	53	41	31	22	14	10	14	22	31	41	50	40	30	20	10	0	10	20	30	40	50	
64	56	50	44	41	40	41	44	50	56	58	50	42	36	31	30	31	36	42	50	53	44	36	28	22	20	22	28	36	44	50	41	31	22	14	10	14	22	31	41	50	40	30	20	10	0	10	20	30	40	
72	64	56	50	44	41	40	41	44	50	67	58	50	42	36	31	30	31	36	42	63	53	44	36	28	22	20	22	28	36	60	50	41	31	22	14	10	14	22	31	60	50	40	30	20	10	0	10	20	30	
80	72	64	56	50	44	41	40	41	44	76	67	58	50	42	36	31	30	31	36	72	63	53	44	36	28	22	20	22	28	70	60	50	41	31	22	14	10	14	22	70	60	50	40	30	20	10	0	10	20	
89	80	72	64	56	50	44	41	40	41	85	76	67	58	50	42	36	31	30	31	82	72	63	53	44	36	28	22	20	22	80	70	60	50	41	31	22	14	10	14	80	70	60	50	40	30	20	10	0	10	
98	89	80	72	64	56	50	44	41	40	94	85	76	67	58	50	42	36	31	30	92	82	72	63	53	44	36	28	22	20	90	80	70	60	50	41	31	22	14	10	90	80	70	60	50	40	30	20	10	0	
